 * Geometry of the atmosphere [Altitude of the top of the fictive layers (BA, MA, HA, Sensor), Nb of layers (BA, MA, HA), layer of the sensor, Nb of MA horizontal cells, Cells size (MAx, MAy, MAz, HAz)] *
4.00000000000000008327e-02	4.00003999999999996362e+03	8.40000399999999935972e+04	3.00003999999999996362e+03	1	8	40	6	1	1	4.00000000000000000000e+00	4.00000000000000000000e+00	5.00000000000000000000e+02	2.00000000000000000000e+03	
 * Temperature per layer (Average Temperature, Linear Coeff[2])*
0	2.86524869999999964421e+02	-6.49999999999988607724e-03	2.88149869999999964421e+02
1	2.83274870000000021264e+02	-6.50000000000011332602e-03	2.84899870000000021264e+02
2	2.80024869999999964421e+02	-6.49999999999988607724e-03	2.81649869999999964421e+02
3	2.76774870000004000303e+02	-6.49999960000013747574e-03	2.78399870000000021264e+02
4	2.73527370199999950273e+02	-6.48999999999989515831e-03	2.75149870199999952547e+02
5	2.70282370200000059413e+02	-6.49000000000000878270e-03	2.71904870200000004843e+02
6	2.67037370199999998022e+02	-6.49000000000000878270e-03	2.68659870200000000295e+02
7	2.63792370200000050318e+02	-6.49000000000000878270e-03	2.65414870199999995748e+02
0	2.55679870200000010527e+02	-6.48999999999999317019e-03	2.62169870199999991200e+02
1	2.42699870200000987097e+02	-6.48999989999998663087e-03	2.49189870200000001432e+02
2	2.29729870399999981601e+02	-6.48000000000000398598e-03	2.36209870400000028212e+02
3	2.18359934000648024721e+02	-3.29993520000000737508e-03	2.23249870400000020254e+02
4	2.16650000000000005684e+02	0.00000000000000000000e+00	2.16650000000000005684e+02
5	2.16650000000000005684e+02	0.00000000000000000000e+00	2.16650000000000005684e+02
6	2.16650000000000005684e+02	0.00000000000000000000e+00	2.16650000000000005684e+02
7	2.16650000000092973096e+02	9.29999998788844022751e-09	2.16650000000000005684e+02
8	2.17595019200006987603e+02	9.60000700000023248111e-04	2.16650018599999981461e+02
9	2.19567519899999012978e+02	9.94999899999996287314e-04	2.18570020000000027949e+02
10	2.21550519820000232585e+02	9.91000020000001348441e-04	2.20560019800000020496e+02
11	2.23534019840000013346e+02	9.91999999999990285382e-04	2.22542019840000023123e+02
12	2.25518019840100805595e+02	9.92010080000000097830e-04	2.24526019840000003569e+02
13	2.28510040000000003602e+02	2.00000000000000004163e-03	2.26510040000000003602e+02
14	2.32510040000000003602e+02	2.00000000000000351108e-03	2.30510040000000003602e+02
15	2.36702047680076788083e+02	2.38400767999998215718e-03	2.34510040000000003602e+02
16	2.42046055359999968459e+02	2.76800000000000049477e-03	2.39278055359999967777e+02
17	2.47582055359999401389e+02	2.76799994000000984182e-03	2.44814055359999969141e+02
18	2.53112055240000017875e+02	2.76200000000002875503e-03	2.50350055239999988999e+02
19	2.58636055240000018784e+02	2.76199999999998625430e-03	2.55874055240000046751e+02
20	2.63794040599853587992e+02	2.02998536000001178134e-03	2.61398055240000019239e+02
21	2.66756025959999988117e+02	1.29799999999994503108e-03	2.65458025960000043142e+02
22	2.69352025959672516819e+02	1.29796726000003552134e-03	2.68054025959999933093e+02
23	2.68673960480000005191e+02	-1.97599999999999902459e-03	2.70649960480000004281e+02
24	2.64721960480000007010e+02	-1.97599999999999902459e-03	2.66697960480000006100e+02
25	2.60576452739922615365e+02	-2.36300774000002900346e-03	2.62745960480000007919e+02
26	2.55269944999999978563e+02	-2.74999999999997165115e-03	2.58019944999999950142e+02
27	2.49769945000000717528e+02	-2.74999993000000142115e-03	2.52519945000000006985e+02
28	2.44276945140000009360e+02	-2.74299999999999500819e-03	2.47019945140000004358e+02
29	2.38790945140000019364e+02	-2.74299999999999500819e-03	2.41533945140000014362e+02
30	2.33304945140000029369e+02	-2.74299999999999934500e-03	2.36047945140000024367e+02
31	2.27818945140000039373e+02	-2.74299999999999500819e-03	2.30561945140000005949e+02
32	2.22332945140064794032e+02	-2.74299351999999878327e-03	2.25075945140000015954e+02
33	2.17494958100000019385e+02	-2.09499999999999877293e-03	2.19589958100000018248e+02
34	2.13304958100000021659e+02	-2.09499999999999877293e-03	2.15399958100000020522e+02
35	2.09114958099999995511e+02	-2.09500000000002739586e-03	2.11209958100000022796e+02
36	2.04924958099999969363e+02	-2.09499999999999877293e-03	2.07019958099999968226e+02
37	2.00734958100191676067e+02	-2.09498082999998299844e-03	2.02829958099999970500e+02
38	1.98461996440000007169e+02	-1.78000000000011482371e-04	1.98639996440000004441e+02
39	1.98105996439999984204e+02	-1.77999999999997279322e-04	1.98283996439999981476e+02
 * Atmosphere general properties (Band number, Trans scat mol, Trans abs gaz total, Opt depth total aer, Aerosol scattering albedo, Trans UpDown, Number of aerosols, albedo(Aerosol: 1 ), Henyey-Greenstien parameters1 (a, g1, g2))*
0 	1.000000e+00	8.619935e-01	2.521348e-02	8.689104e-01	7.524609e-01	1	8.689104e-01	1.000000e+00	8.103671e-01	0.000000e+00
 * Optical properties per layer (band, layer, CE_mol, alb_diff_mol, CE_aer, alb_diff_aer, diff_proportion_aer[1], CubicPolynomialCoefficientDiff_mol[4], CubicPolynomialCoefficientAbs_mol[4], CubicPolynomialCoefficientTotal_aero[4], CubicPolynomialCoefficientTotal_Extinction[4]) *
0	0	2.51923306473296949491e-05	0.00000000000000000000e+00	1.09396382428093008734e-05	8.68910396600000023426e-01	1.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	1.26127432003270146901e-13	2.31688700956959804117e-09	-2.63823060101153110488e-05	1.25961653236648478404e-02	6.49508587212271901953e-14	2.14936924507395226271e-09	-1.20305605800265834966e-05	5.46981912140465011823e-03	1.91078290724566718991e-13	4.46625625464349570996e-09	-3.84128665901418945455e-05	1.80659844450694988260e-02
0	1	2.27116940807162039204e-05	0.00000000000000000000e+00	8.69613279742305983423e-06	8.68910396600000023426e-01	1.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	3.00726845403331810879e-14	2.50322234938394719924e-09	-2.39708234265432616923e-05	1.13558470403581027869e-02	5.63423068997842568112e-14	2.24451963352741062604e-09	-9.83247819091171171041e-06	4.34806639871153019494e-03	8.64149914401313218510e-14	4.74774198291134789911e-09	-3.38033016174549717087e-05	1.57039134390696347165e-02
0	2	2.04753423726199055524e-05	0.00000000000000000000e+00	6.85835101397965916421e-06	8.68910396600000023426e-01	1.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	-2.43634617606569583953e-14	1.95159011314864248043e-09	-2.14450465637540652649e-05	1.02376711863099521121e-02	3.12627102230164639662e-14	1.35907027134809978010e-09	-7.54570182720946318160e-06	3.42917550698982947707e-03	6.89924846233869147592e-15	3.31066038449675839055e-09	-2.89907483909635284465e-05	1.36668466932997820229e-02
0	3	1.85536644190095635491e-05	0.00000000000000000000e+00	5.45019744507613712099e-06	8.68910396600000023426e-01	1.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	5.62771577533593941170e-15	1.91331539794503184153e-09	-1.95117290469259141721e-05	9.27683220950478205913e-03	3.51073627151560182430e-14	1.40842047487834978226e-09	-6.16318452319410140991e-06	2.72509872253806845546e-03	4.07350784904503255205e-14	3.32173587282341119550e-09	-2.56749135701200172761e-05	1.20019309320428500809e-02
0	4	1.68091743986739532212e-05	0.00000000000000000000e+00	4.21736647174216400290e-06	8.68910396599999912404e-01	1.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	1.84001537252009851357e-14	1.56083685008825498910e-09	-1.75941928621493816516e-05	8.40458719933697730176e-03	2.35467533191424660571e-14	1.01036073241486959001e-09	-4.72843352627938468745e-06	2.10868323587108186593e-03	4.19469070443434511928e-14	2.57119758250312664706e-09	-2.23226263884287671861e-05	1.05132704352080587340e-02
0	5	1.52210053373721903273e-05	0.00000000000000000000e+00	3.17055974277192235394e-06	8.68910396600000023426e-01	1.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	1.09322325439059620289e-14	1.59163500251811806326e-09	-1.60195558967672272007e-05	7.61050266868609510268e-03	2.47639091036470900156e-14	1.04732401765464742993e-09	-3.70041272887515801694e-06	1.58527987138596120238e-03	3.56961416475565198770e-14	2.63895902017276487280e-09	-1.97199686256423839471e-05	9.19578254007205608822e-03
0	6	1.38284896936941812144e-05	0.00000000000000000000e+00	2.33490970017985634069e-06	8.68910396599999912404e-01	1.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	-7.63559377631173369252e-15	1.18628184918214639940e-09	-1.44197217198411781425e-05	6.91424484684709066140e-03	1.25046933373146317477e-14	5.92959811757179743272e-10	-2.63451577939277520945e-06	1.16745485008992819914e-03	4.86909956098902120298e-15	1.77924166093933482807e-09	-1.70542374992339529284e-05	8.08169969693701972790e-03
0	7	1.26514287760608803844e-05	0.00000000000000000000e+00	1.72214676473091681341e-06	8.68910396600000023426e-01	1.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	6.34443281563590266565e-16	1.17515835821998470209e-09	-1.32391665659912648352e-05	6.32571438803043988724e-03	1.39568810432425665185e-14	6.13082925281763688271e-10	-2.03217744763260934251e-06	8.61073382365458374517e-04	1.45913243247836042379e-14	1.78824128350176793250e-09	-1.52713440136238754483e-05	7.18678777039589815334e-03
0	0	1.03418256709058813798e-05	0.00000000000000000000e+00	8.55503786277697713628e-07	8.68910396600000023426e-01	1.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	-5.74977029923770900740e-14	9.75848758186866991810e-10	-1.20635323753101072450e-05	2.06836513418117637353e-02	0.00000000000000000000e+00	2.76561537645357965807e-10	-1.40862686156841361216e-06	1.71100757255539552212e-03	-1.28667651126959497350e-13	1.39475019210138967220e-09	-1.34721592368785208571e-05	2.23946589143671596911e-02
0	1	7.73499498394039351778e-06	0.00000000000000000000e+00	4.48929712662917681639e-07	8.68910396600000023426e-01	1.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	0.00000000000000000000e+00	-2.62182803551619898782e-14	6.09993957975709998492e-10	-8.85010977847116448987e-06	1.54699899678807858971e-02	1.35500632417372635457e-14	4.19652689477220826941e-11	-5.87060503525310923329e-07	8.97859425325835407324e-04	-1.26682171134239942695e-14	6.51959226923430000310e-10	-9.43717028199647509556e-06	1.63678493932066203287e-02
